Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,312,86782,44190,20383,6658,11076,762,31516,136421,24,66
D:\xampp\htdocs\uscsportsportal,312,86782,44190,20383,6658,11076,762,31516,136421,24,66
D:\xampp\htdocs\uscsportsportal\application,90,7650,5043,2074,205,1397,13,1210,5481,0,0
D:\xampp\htdocs\uscsportsportal\application\config,14,1610,643,136,1,86,13,881,4268,0,0
D:\xampp\htdocs\uscsportsportal\application\controllers,16,1719,1076,803,57,386,0,257,840,0,0
D:\xampp\htdocs\uscsportsportal\application\controllers\Admin,1,28,21,15,0,6,0,1,1,0,0
D:\xampp\htdocs\uscsportsportal\application\core,1,22,16,10,1,6,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\language,1,72,35,73,0,1,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\application\language\english,1,72,35,73,0,1,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\application\models,8,1116,794,519,115,289,0,33,98,0,0
D:\xampp\htdocs\uscsportsportal\application\views,50,3111,2479,533,31,629,0,3,12,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin,20,1422,1079,141,20,343,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors,10,325,268,113,0,57,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\cli,5,68,53,6,0,15,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\html,5,257,215,107,0,42,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\includes,6,557,466,103,5,89,0,2,7,0,0
D:\xampp\htdocs\uscsportsportal\db_file,3,1301,833,0,0,159,21,309,567,24,66
D:\xampp\htdocs\uscsportsportal\filemanager,46,12345,9855,3195,957,1244,470,1246,8235,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\config,1,364,106,6,2,48,30,210,1382,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\include,4,5498,3994,1770,515,761,86,743,3017,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang,33,3271,3140,33,33,130,326,1,1580,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\uploader,3,958,667,449,136,62,13,229,1931,0,0
D:\xampp\htdocs\uscsportsportal\system,172,65193,28364,15058,5483,8244,254,28585,121217,0,0
D:\xampp\htdocs\uscsportsportal\system\core,21,9511,4422,2302,845,1152,60,3937,18295,0,0
D:\xampp\htdocs\uscsportsportal\system\core\compat,4,1020,574,274,128,108,1,338,1577,0,0
D:\xampp\htdocs\uscsportsportal\system\database,79,24399,9735,5070,1899,3105,39,11559,47882,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers,72,17178,6365,3293,1205,2106,18,8707,36981,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\cubrid,4,906,327,167,68,112,0,467,1936,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\ibase,4,889,317,153,60,108,0,464,1937,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mssql,4,966,334,179,71,121,2,511,2189,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysql,4,1150,454,237,90,158,2,538,2279,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysqli,4,1174,493,256,100,155,2,526,2243,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\oci8,4,1153,440,244,84,143,4,570,2384,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\odbc,4,795,244,135,52,94,0,457,1920,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo,28,6402,2428,1235,401,757,5,3217,13846,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers,24,5676,2172,1097,352,673,5,2831,12081,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\postgre,4,1108,434,220,88,139,1,535,2199,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite,4,791,243,130,53,93,0,455,1937,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite3,4,858,296,152,64,102,0,460,1970,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlsrv,4,986,355,185,74,124,2,507,2141,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers,21,6015,2875,1401,597,678,50,2462,12385,0,0
D:\xampp\htdocs\uscsportsportal\system\language,13,798,304,330,0,26,1,468,3425,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english,13,798,304,330,0,26,1,468,3425,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries,38,24470,11028,5955,2142,3283,104,10159,39230,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Cache,7,1745,613,314,121,216,1,916,4103,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Cache\drivers,6,1489,537,266,109,187,1,765,3446,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Javascript,1,1077,359,202,60,150,3,568,1932,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Session,7,2599,1271,669,274,333,5,995,4063,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Session\drivers,4,1499,741,405,188,190,4,568,2286,0,0
